video_id;game;comment_id;author_display_name;text;published_at;like_count;text_clean;text_casefoldingText;text_slangwords;text_title;text_stemming;text_tokenizingText;text_stopword;text_akhir;sentiment;confidence
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwFwHcHFbfdHSVdsDF4AaABAg;@MhmmdMaul;kebanyakan nyawit lu;16/02/2026 18:40;0;kebanyakan nyawit kamu;kebanyakan nyawit kamu;kebanyakan nyawit kamu;kebanyakan nyawit kamu;banyak sawit kamu;['banyak', 'sawit', 'kamu'];['sawit', 'kamu'];nyawit kamu;negative;9971
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwFwHcHFbfdHSVdsDF4AaABAg;@MhmmdMaul;nyawit nih orang;16/02/2026 18:40;0;nyawit nih orang;nyawit nih orang;nyawit nih orang;nyawit nih orang;nyawit nih orang;['sawit', 'orang'];['sawit', 'orang'];sawit orang;negative;9971
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzZyU1z9YdNcKVBUrt4AaABAg;@reynandalfathir2998;Jirlah 1945😂;16/02/2026 09:10;0;Jirlah 😂;jirlah 😂;anjir lah 😂;anjir lah 😂;anjir lah;['anjir', 'lah'];['anjir'];anjir;neutral;9017
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugxci191JAfElzxP19J4AaABAg;@lingkunaaaaann;soasik anying;15/02/2026 23:43;0;soasik anying;soasik anying;sok asyik anjir;sok asyik anjir;sok asyik anjir;['sok', 'asyik', 'anjir'];['sok', 'asyik', 'anjir'];sok asyik anjir;negative;8323
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwFn8zbQzFLOL57SGd4AaABAg;@Zidann-n3b;Ketahuan karna bocil mixing;15/02/2026 22:53;0;Ketahuan karna bocil mixing;ketahuan karna bocil mixing;ketahuan karena anak kecil campur;ketahuan karena anak kecil campur;tahu karena anak kecil campur;['tahu', 'karena', 'anak', 'kecil', 'campur'];['anak', 'campur'];anak campur;neutral;6853
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxzrPkYrVJEt7WzcLN4AaABAg;@Baharyoudien;tau gak arti nickname nya? asli darksistem;15/02/2026 20:21;0;tau gak arti nickname nya ? asli darksistem;tau gak arti nickname nya ? asli darksistem;tahu tidak arti nickname nya ? asli darksistem;tahu tidak arti nickname nya ? asli darksistem;tahu tidak arti nickname nya asli darksistem;['tahu', 'tidak', 'arti', 'nickname', 'nya', 'asli', 'darksistem'];['tidak', 'arti', 'nickname', 'asli', 'darksistem'];tidak arti nickname asli darksistem;neutral;9981
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxeRNseXD1mSFh3iA54AaABAg;@Rifanor-x2i;Nama nya ngawur 😂;15/02/2026 18:39;0;Nama nya ngawur 😂;nama nya ngawur 😂;nama nya berbicara sembarangan 😂;nama nya berbicara sembarangan 😂;nama nya bicara sembarang;['nama', 'nya', 'bicara', 'sembarang'];['nama', 'bicara', 'sembarang'];nama bicara sembarang;neutral;9949
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzCoDMo_knHAKU5NHZ4AaABAg;@Symongnwn;Yapping final boss;14/02/2026 23:58;0;Yapping final boss;yapping final boss;ngoceh final bos;ngoceh final bos;ngoceh final bos;['ngoceh', 'final', 'bos'];['ngoceh', 'final', 'bos'];ngoceh final bos;negative;9984
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxDGz7BYw_NCAjIn-R4AaABAg;@wantogugun323;Banyak ngetik;14/02/2026 23:37;0;Banyak ngetik;banyak ngetik;banyak ngetik;banyak ngetik;banyak ngetik;['banyak', 'ngetik'];['ngetik'];ngetik;negative;9981
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxmaV696UeeAjnjEvh4AaABAg;@ncofficial434;Makin bnyk chat makin nampak prank nya..diam aja lah;14/02/2026 13:01;0;Makin bnyk chat makin nampak prank nya diam aja lah;makin bnyk chat makin nampak prank nya diam aja lah;makin banyak chat makin nampak prank nya diam saja lah;makin banyak chat makin nampak prank nya diam saja lah;makin banyak chat makin nampak prank nya diam saja lah;['makin', 'banyak', 'chat', 'makin', 'nampak', 'prank', 'nya', 'diam', 'saja', 'lah'];['chat', 'nampak', 'prank', 'diam'];chat nampak prank diam;negative;9976
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugy1HaPQC1jst2DLW6l4AaABAg;@leonynathalia3166;Kebanyakan yapping ya psti curiga lah+alayy liatnya;14/02/2026 10:55;0;Kebanyakan yapping ya psti curiga lah + alayy liat nya;kebanyakan yapping ya psti curiga lah + alayy liat nya;kebanyakan ngoceh iya pasti curiga lah + alayy lihat nya;kebanyakan ngoceh iya pasti curiga lah + alayy lihat nya;banyak ngoceh iya pasti curiga lah alayy lihat nya;['banyak', 'ngoceh', 'iya', 'pasti', 'curiga', 'lah', 'alayy', 'lihat', 'nya'];['ngoceh', 'curiga', 'alayy', 'lihat'];ngoceh curiga alayy lihat;negative;8205
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugz6Q-kyGx1mKorcC-R4AaABAg;@SnoxGaming-u2c;Kebsnyakan typing;13/02/2026 17:31;0;Kebsnyakan typing;kebsnyakan typing;kebanyakan ngetik;kebanyakan ngetik;banyak ngetik;['banyak', 'ngetik'];['ngetik'];ngetik;negative;9956
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxndouV0bbZ-sNhfOR4AaABAg;@MochammadIrsyad-c1l;ga seru dut kurang cupu;13/02/2026 10:18;0;ga seru dut kurang cupu;ga seru dut kurang cupu;tidak seru gendut kurang culun;tidak seru gendut kurang culun;tidak seru gendut kurang culun;['tidak', 'seru', 'gendut', 'kurang', 'culun'];['tidak', 'seru', 'gendut', 'kurang', 'culun'];tidak seru gendut kurang culun;negative;9983
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugxj4dFRVEgG2hDj8IN4AaABAg;@jackbjm9522;palir halus 😂😂😂;13/02/2026 09:47;0;palir halus 😂😂;palir halus 😂😂;kontol kecil 😂😂;kontol kecil 😂😂;kontol kecil;['kontol', 'kecil'];['kontol'];kontol;neutral;996
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugw175Rewg7PTd3sKjt4AaABAg;@Refandikaaa;ngetik nya banyak amad bg;11/02/2026 22:25;0;ngetik nya banyak amad bg;ngetik nya banyak amad bg;ngetik nya banyak amat abang;ngetik nya banyak amat abang;ngetik nya banyak amad abang;['ngetik', 'nya', 'banyak', 'amad', 'abang'];['ngetik', 'amad', 'abang'];ngetik amad abang;negative;9668
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxK_hEt8-17EDAONwR4AaABAg;@Maulanaa25;Bngul palirhalus🤣;11/02/2026 21:08;0;Bngul palirhalus 🤣;bngul palirhalus 🤣;bngul kontol kecil 🤣;bngul kontol kecil 🤣;bngul kontol kecil;['bngul', 'kontol', 'kecil'];['bngul', 'kontol'];bngul kontol;neutral;9898
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyX1auLJL2XeBtBnKt4AaABAg;@RuhayaMustapha;22:37 njir ngakak gw;11/02/2026 21:04;0;njir ngakak gw;njir ngakak gw;anjir ngakak aku;anjir ngakak aku;anjir ngakak aku;['anjir', 'ngakak', 'aku'];['anjir', 'ngakak'];anjir ngakak;positive;9805
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzIfWrfGsrFIZ_s1fJ4AaABAg;@jokimarkoboy;Kebanyakan typing jdinya keliatan;09/02/2026 23:14;0;Kebanyakan typing jdi nya keliatan;kebanyakan typing jdi nya keliatan;kebanyakan ngetik jadi nya kelihatan;kebanyakan ngetik jadi nya kelihatan;banyak ngetik jadi nya lihat;['banyak', 'ngetik', 'jadi', 'nya', 'lihat'];['ngetik', 'lihat'];ngetik lihat;negative;9678
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxVTVWyAVMFCaMZUHt4AaABAg;@John-Thoor;Bang. .  kalo bisa WR lu minusin wkekwkwkw😅😅😅;09/02/2026 13:30;0;Bang kalo bisa WR lu minusin tertawa 😅😅;bang kalo bisa wr lu minusin tertawa 😅😅;abang kalau bisa win rate kamu minusin tertawa 😅😅;abang kalau bisa win rate kamu minusin tertawa 😅😅;abang kalau bisa win rate kamu minusin tertawa;['abang', 'kalau', 'bisa', 'win', 'rate', 'kamu', 'minusin', 'tertawa'];['abang', 'win', 'rate', 'minusin', 'tertawa'];abang win rate minusin tertawa;neutral;9934
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzZDhvHT8IKLqrxpqF4AaABAg;@reezha856;Kita liat reaksinya dulu ya ges. Malah elu bang yang kaget😂;09/02/2026 10:59;0;Kita liat reaksi nya dulu ya ges Malah elu bang yang kaget 😂;kita liat reaksi nya dulu ya ges malah elu bang yang kaget 😂;kita lihat reaksi nya dulu iya ges malah kamu abang yang kaget 😂;kita lihat reaksi nya dulu iya ges malah kamu abang yang kaget 😂;kita lihat reaksi nya dulu iya ges malah kamu abang yang kaget;['kita', 'lihat', 'reaksi', 'nya', 'dulu', 'iya', 'ges', 'malah', 'kamu', 'abang', 'yang', 'kaget'];['lihat', 'reaksi', 'ges', 'abang', 'kaget'];lihat reaksi ges abang kaget;neutral;9964
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwtozMfBPQb5Zjn31F4AaABAg;@pharsageming9437;"Tau g tu apa artinya palir halus?..
Itu bahasa Kalimantan(Banjar)""";07/02/2026 00:27;0;Tau g tu apa arti nya palir halus ? Itu bahasa Kalimantan Banjar;tau g tu apa arti nya palir halus ? itu bahasa kalimantan banjar;tahu tidak tu apa arti nya kontol kecil ? itu bahasa kalimantan banjar;tahu tidak tu apa arti nya kontol kecil ? itu bahasa kalimantan banjar;tahu tidak tu apa arti nya kontol kecil itu bahasa kalimantan banjar;['tahu', 'tidak', 'tu', 'apa', 'arti', 'nya', 'kontol', 'kecil', 'itu', 'bahasa', 'kalimantan', 'banjar'];['tidak', 'tu', 'arti', 'kontol', 'bahasa', 'kalimantan', 'banjar'];tidak tu arti kontol bahasa kalimantan banjar;neutral;9974
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwSxTU110v9NGDtN6V4AaABAg;@estherGbog;10% prank, 90% ngetik;06/02/2026 20:00;1;prank ngetik;prank ngetik;prank ngetik;prank ngetik;prank ngetik;['prank', 'ngetik'];['prank', 'ngetik'];prank ngetik;negative;9414
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugy-DxM0moGWGMKdOO94AaABAg;@ZaxyChan;Palir Halus Itu Biji Kecil bg🗿;06/02/2026 20:00;0;Palir Halus Itu Biji Kecil bg 🗿;palir halus itu biji kecil bg 🗿;kontol kecil itu biji kecil abang 🗿;kontol kecil itu biji kecil abang 🗿;kontol kecil itu biji kecil abang;['kontol', 'kecil', 'itu', 'biji', 'kecil', 'abang'];['kontol', 'biji', 'abang'];kontol biji abang;neutral;9985
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzbtEyrb4zjigexoMp4AaABAg;@syhd2495;nicknamenya🗿 only banjarese know this😂😂;06/02/2026 16:22;0;nickname nya 🗿 only banjarese know this 😂😂;nickname nya 🗿 only banjarese know this 😂😂;nickname nya 🗿 only orang banjar know this 😂😂;nickname nya 🗿 only orang banjar know this 😂😂;nickname nya only orang banjar know this;['nickname', 'nya', 'only', 'orang', 'banjar', 'know', 'this'];['nickname', 'orang', 'banjar', 'know'];nickname orang banjar know;neutral;9932
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyaPNeJWMmd-bFYA0B4AaABAg;@rezaafif8044;Cringe;06/02/2026 03:31;0;Cringe;cringe;cringe;cringe;cringe;['cringe'];['cringe'];cringe;negative;9964
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgydYDkAQia2vvQkIy54AaABAg;@RizkonsyabaniIkon;Bang lu kalo ngeprang jangan omong kasar;05/02/2026 22:04;0;Bang lu kalo ngeprang jangan omong kasar;bang lu kalo ngeprang jangan omong kasar;abang kamu kalau ngeprank jangan bicara kasar;abang kamu kalau ngeprank jangan bicara kasar;abang kamu kalau ngeprank jangan bicara kasar;['abang', 'kamu', 'kalau', 'ngeprank', 'jangan', 'bicara', 'kasar'];['abang', 'ngeprank', 'jangan', 'bicara', 'kasar'];abang ngeprank jangan bicara kasar;neutral;993
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwV-yZ_6HCd4jjbTiB4AaABAg;@NajwaPaujan;emang beban si Jo ini wkwkw;05/02/2026 14:20;0;emang beban si Jo ini tertawa;emang beban si jo ini tertawa;emang beban si jo ini tertawa;emang beban si jo ini tertawa;emang beban si jo ini tertawa;['emang', 'beban', 'si', 'jo', 'ini', 'tertawa'];['emang', 'beban', 'si', 'tertawa'];emang beban si tertawa;neutral;945
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugyr3MLH8cYAFQuQNgN4AaABAg;@achmadnoor4439;Palir halus artinya penis kecil😂;05/02/2026 06:21;0;Palir halus arti nya penis kecil 😂;palir halus arti nya penis kecil 😂;kontol kecil arti nya penis kecil 😂;kontol kecil arti nya penis kecil 😂;kontol kecil arti nya penis kecil;['kontol', 'kecil', 'arti', 'nya', 'penis', 'kecil'];['kontol', 'arti', 'penis'];kontol arti penis;neutral;9977
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxnznN8ULelzw5Ozah4AaABAg;@Kay-kh8bj;Prank banyak bacot;05/02/2026 05:40;0;Prank banyak bacot;prank banyak bacot;prank banyak banyak bicara;prank banyak banyak bicara;prank banyak banyak bicara;['prank', 'banyak', 'banyak', 'bicara'];['prank', 'bicara'];prank bicara;negative;9914
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxbXp5q6NbKskGFlTx4AaABAg;@muhammadhilal8324;Panik dek;04/02/2026 22:21;0;Panik dek;panik dek;panik adik;panik adik;panik adik;['panik', 'adik'];['panik', 'adik'];panik adik;neutral;9751
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugw3IOwit4IijiuS_pJ4AaABAg;@nopriannoor9192;ini bang r7 dpt akun kecil dr mana, lucu nick nya wkwkwwkk;04/02/2026 18:39;0;ini bang r dpt akun kecil dr mana lucu nick nya tertawa;ini bang r dpt akun kecil dr mana lucu nick nya tertawa;ini abang R7 dapat akun kecil dr mana lucu nickname nya tertawa;ini abang R7 dapat akun kecil dari mana lucu nickname nya tertawa;ini abang r7 dapat akun kecil dr mana lucu nickname nya tertawa;['ini', 'abang', 'r7', 'dapat', 'akun', 'kecil', 'dr', 'mana', 'lucu', 'nickname', 'nya', 'tertawa'];['abang', 'r7', 'akun', 'dr', 'lucu', 'nickname', 'tertawa'];abang r7 akun dr lucu nickname tertawa;neutral;9976
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugy1H61L6tRJ1LkY7ip4AaABAg;@bimagimang7970;Jangan kebanyakan typing brok;04/02/2026 08:49;0;Jangan kebanyakan typing brok;jangan kebanyakan typing brok;jangan kebanyakan ngetik brok;jangan kebanyakan ngetik brok;jangan banyak ngetik brok;['jangan', 'banyak', 'ngetik', 'brok'];['jangan', 'ngetik', 'brok'];jangan ngetik brok;neutral;9928
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyruqLXgof90sy2gER4AaABAg;@franscandranatalis;Duta dark system Jonatan liandi;04/02/2026 06:44;0;Duta dark system Jonatan liandi;duta dark system jonatan liandi;duta darksistem jonatan liandi;duta darksistem jonatan liandi;duta darksistem jonatan liandi;['duta', 'darksistem', 'jonatan', 'liandi'];['duta', 'darksistem', 'jonatan', 'liandi'];duta darksistem jonatan liandi;neutral;997
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugwxm9b88DGrR12FG7l4AaABAg;@MukhamadadiFirmansyah;Kebanyakan ketikan, itu mah bukan prank namanya, sengaja  biar tau;03/02/2026 23:26;0;Kebanyakan ketikan itu mah bukan prank nama nya sengaja biar tau;kebanyakan ketikan itu mah bukan prank nama nya sengaja biar tau;kebanyakan ketikan itu mah bukan prank nama nya sengaja biar tahu;kebanyakan ketikan itu mah bukan prank nama nya sengaja biar tahu;banyak keti itu mah bukan prank nama nya sengaja biar tahu;['banyak', 'keti', 'itu', 'mah', 'bukan', 'prank', 'nama', 'nya', 'sengaja', 'biar', 'tahu'];['keti', 'bukan', 'prank', 'nama', 'sengaja', 'biar'];keti bukan prank nama sengaja biar;neutral;9708
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugzv0AilSUdxUjKSi5l4AaABAg;@dappzyy20;kda kemerdekaan 😭;03/02/2026 22:23;0;kda kemerdekaan 😭;kda kemerdekaan 😭;skor kemerdekaan 😭;skor kemerdekaan 😭;skor merdeka;['skor', 'merdeka'];['skor', 'merdeka'];skor merdeka;neutral;9937
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxC-Dm5say878caDq14AaABAg;@gdebrian9536;Saran bang,pake build anomali wkwk;03/02/2026 09:14;0;Saran bang pake build anomali tertawa;saran bang pake build anomali tertawa;saran abang pakai build anomali tertawa;saran abang pakai build anomali tertawa;saran abang pakai build anomali tertawa;['saran', 'abang', 'pakai', 'build', 'anomali', 'tertawa'];['saran', 'abang', 'pakai', 'build', 'anomali', 'tertawa'];saran abang pakai build anomali tertawa;neutral;9983
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwmMOdg-VR2T9vwMNR4AaABAg;@KursiKosong-w9f;Palir halus 😅;02/02/2026 20:16;0;Palir halus 😅;palir halus 😅;kontol kecil 😅;kontol kecil 😅;kontol kecil;['kontol', 'kecil'];['kontol'];kontol;neutral;9967
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgywcFqArnQLUX9W2vt4AaABAg;@KungfuPacul;Gak asik.. terlalu norak. Netral aja lah .;02/02/2026 14:09;0;Gak asik terlalu norak Netral aja lah;gak asik terlalu norak netral aja lah;tidak asik terlalu norak netral saja lah;tidak asik terlalu norak netral saja lah;tidak asik terlalu norak netral saja lah;['tidak', 'asik', 'terlalu', 'norak', 'netral', 'saja', 'lah'];['tidak', 'asik', 'norak', 'netral'];tidak asik norak netral;negative;9952
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwG_zKpoUCwv1U2oj14AaABAg;@endangbrata9849;Gw merasa terhibur, makasi bang R7 👍, lanjutkan prank nya 😂;02/02/2026 10:17;0;Gw merasa terhibur makasi bang R 👍 lanjutkan prank nya 😂;gw merasa terhibur makasi bang r 👍 lanjutkan prank nya 😂;aku merasa terhibur terima kasih abang R7 👍 lanjutkan prank nya 😂;aku merasa terhibur terima kasih abang R7 👍 lanjutkan prank nya 😂;aku rasa hibur terima kasih abang r7 lanjut prank nya;['aku', 'rasa', 'hibur', 'terima', 'kasih', 'abang', 'r7', 'lanjut', 'prank', 'nya'];['hibur', 'terima', 'kasih', 'abang', 'r7', 'prank'];hibur terima kasih abang r7 prank;positive;9952
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxoMo0EGkfbvROvjql4AaABAg;@galihpratama8564;Kebanyakan ngtik bang;02/02/2026 09:28;0;Kebanyakan ngtik bang;kebanyakan ngtik bang;kebanyakan ngtik abang;kebanyakan ngtik abang;banyak ngtik abang;['banyak', 'ngtik', 'abang'];['ngtik', 'abang'];ngtik abang;neutral;9793
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugyckj_ZvuqY8-GECO14AaABAg;@AhmadZhaky-e6m8w;Anjir di katain gendut😂😂😂😂;01/02/2026 23:24;0;Anjir di katain gendut 😂😂;anjir di katain gendut 😂😂;anjir di katain gendut 😂😂;anjir di katain gendut 😂😂;anjir di katain gendut;['anjir', 'di', 'katain', 'gendut'];['anjir', 'katain', 'gendut'];anjir katain gendut;neutral;9075
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugxm7nEvkVPpBcRJ1lt4AaABAg;@daquankingsotot;19:45 SKILL 1 WOI PENCET;01/02/2026 22:34;0;SKILL WOI PENCET;skill woi pencet;skill woi pencet;skill woi pencet;skill woi pencet;['skill', 'woi', 'pencet'];['skill', 'pencet'];skill pencet;neutral;9965
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyIPUuXJ7PHE2VO08d4AaABAg;@iseeens;bang aku punya juga rank kecil kalau mau pake emblem udh gede juga;01/02/2026 22:11;0;bang aku pu nya juga rank kecil kalau mau pake emblem udh gede juga;bang aku pu nya juga rank kecil kalau mau pake emblem udh gede juga;abang aku punya juga rank kecil kalau mau pakai emblem sudah besar juga;abang aku punya juga rank kecil kalau mau pakai emblem sudah besar juga;abang aku punya juga rank kecil kalau mau pakai emblem sudah besar juga;['abang', 'aku', 'punya', 'juga', 'rank', 'kecil', 'kalau', 'mau', 'pakai', 'emblem', 'sudah', 'besar', 'juga'];['abang', 'rank', 'pakai', 'emblem'];abang rank pakai emblem;neutral;9957
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzZ2Xj4KRBORdN6apR4AaABAg;@Iqbal-b9h8k;Master anomali😂;01/02/2026 21:09;0;Master anomali 😂;master anomali 😂;master anomali 😂;master anomali 😂;master anomali;['master', 'anomali'];['master', 'anomali'];master anomali;neutral;9962
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyamvPeU-FOpds_hyh4AaABAg;@herliansyahherliansyah6482;Terlalu banyak typo ga sih;01/02/2026 17:54;0;Terlalu banyak typo ga sih;terlalu banyak typo ga sih;terlalu banyak typo tidak sih;terlalu banyak typo tidak sih;terlalu banyak typo tidak sih;['terlalu', 'banyak', 'typo', 'tidak', 'sih'];['typo', 'tidak'];typo tidak;neutral;9943
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwAcJyeNFtm3HESvQd4AaABAg;@ytadisaat;Saran bg pakai bahasa sunda biar gk ketahuan;01/02/2026 14:37;0;Saran bg pakai bahasa sunda biar gk ketahuan;saran bg pakai bahasa sunda biar gk ketahuan;saran abang pakai bahasa sunda biar tidak ketahuan;saran abang pakai bahasa sunda biar tidak ketahuan;saran abang pakai bahasa sunda biar tidak tahu;['saran', 'abang', 'pakai', 'bahasa', 'sunda', 'biar', 'tidak', 'tahu'];['saran', 'abang', 'pakai', 'bahasa', 'sunda', 'biar', 'tidak'];saran abang pakai bahasa sunda biar tidak;neutral;9967
